Order_ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode,Order_Date,CustomerName_x,State,City_x,Year-Month,Customer_ID,ProductID,CustomerName_y,Country,City_y,Subscription_Date,ProductName,Price,CategoryID,Total_Revenue,Profit_Margin,Customer_Lifetime_Value
B-25890,2516,734,19,Furniture,Chairs,UPI,2023-11-12,Jacqueline Hubbard,New York,New York City,2023-11,11,11,Carl Schroeder,Guernsey,Shannonville,2021-10-20,Garbage Bags - Clear,6.2949,9,47804,29.17329093799682,816562
B-25102,2975,462,14,Office Supplies,Pens,Credit Card,2020-03-23,Jessica Anderson,New York,New York City,2020-03,12,12,Jenna Dodson,Vietnam,East Andrea,2020-11-29,Ezy Change Mophandle,49.3356,4,41650,15.529411764705884,1110272
B-25426,6851,2812,1,Office Supplies,Markers,Debit Card,2020-05-04,Mary Taylor,Florida,Orlando,2020-05,13,13,Tracey Mata,Togo,South Joannamouth,2021-12-02,"Water, Tap",28.2232,11,6851,41.04510290468545,665478
B-25426,7626,1046,15,Furniture,Sofas,Credit Card,2020-05-04,Mary Taylor,Florida,Orlando,2020-05,14,14,Kristine Cox,Sri Lanka,Jodyberg,2021-02-08,Beef - Top Sirloin,3.3324,7,114390,13.716233936532914,955451
B-25426,1023,78,9,Furniture,Tables,UPI,2020-05-04,Mary Taylor,Florida,Orlando,2020-05,15,15,Faith Lutz,Singapore,Burchbury,2022-01-26,"Spoon - Soup, Plastic",32.442,1,9207,7.624633431085044,692902
B-25238,7600,1098,10,Office Supplies,Pens,UPI,2023-11-09,Walter Crawford,Illinois,Springfield,2023-11,16,16,Miranda Beasley,Oman,Desireeshire,2022-04-12,Kellogs Special K Cereal,54.7246,2,76000,14.44736842105263,574043
B-25238,7501,262,18,Office Supplies,Paper,COD,2023-11-09,Walter Crawford,Illinois,Springfield,2023-11,17,17,Caroline Foley,Western Sahara,West Adriennestad,2021-03-10,"Wine - White, Mosel Gold",43.9182,10,135018,3.4928676176509796,623009
B-25051,725,133,6,Office Supplies,Paper,Credit Card,2024-12-30,Lawrence Robinson,New York,Rochester,2024-12,18,18,Greg Mata,Mozambique,Lake Leslie,2022-03-26,"Lamb - Whole, Fresh",23.3966,10,4350,18.344827586206897,434849
B-25051,7201,2685,2,Furniture,Tables,Credit Card,2024-12-30,Lawrence Robinson,New York,Rochester,2024-12,19,19,Clifford Jacobson,South Georgia and the South Sandwich Islands,Harmonview,2020-09-24,Tea - Earl Grey,22.5614,3,14402,37.28648798777947,625354
B-26510,1629,265,1,Office Supplies,Paper,UPI,2025-02-11,Douglas Pennington,Texas,Dallas,2025-02,20,20,Joanna Kirk,French Polynesia,Jamesshire,2021-09-24,Chocolate - Feathers,85.9011,3,1629,16.267648864333946,701994
B-26510,1629,265,1,Office Supplies,Paper,UPI,2024-01-23,Ricardo Andrews,California,San Diego,2024-01,21,21,Maxwell Frye,Malta,East Carly,2022-01-12,Kiwi,46.7252,7,1629,16.267648864333946,777098
B-25104,8971,2971,19,Office Supplies,Binders,Debit Card,2020-11-28,Paul Raymond,California,San Diego,2020-11,22,22,Kiara Houston,Netherlands,South Alvin,2020-09-15,Rice - Jasmine Sented,27.8955,6,170449,33.11782409987739,1024077
B-25104,2939,894,20,Office Supplies,Binders,COD,2020-11-28,Paul Raymond,California,San Diego,2020-11,23,23,Colleen Howard,Paraguay,Brittanyview,2020-08-19,Crab - Imitation Flakes,79.0184,11,58780,30.41850969717591,762430
B-25553,9380,414,11,Electronics,Phones,UPI,2024-05-30,Karen Johnson,New York,Rochester,2024-05,24,24,Janet Valenzuela,Lao People's Democratic Republic,Veronicamouth,2020-09-08,"Beer - Alexander Kieths, Pale Ale",89.037,3,103180,4.4136460554371,570487
B-25553,8558,1644,18,Office Supplies,Binders,Credit Card,2024-05-30,Karen Johnson,New York,Rochester,2024-05,25,25,Shane Wilcox,Albania,Bryanville,2021-04-06,Soupcontfoam16oz 116con,80.7666,10,154044,19.21009581677962,735737
B-25553,4080,72,17,Office Supplies,Paper,COD,2024-05-30,Karen Johnson,New York,Rochester,2024-05,26,26,Marcus Moody,Panama,Kaitlyntown,2022-05-24,Squid U5 - Thailand,33.7821,11,69360,1.7647058823529411,605743
B-26703,4206,1821,17,Electronics,Electronic Games,EMI,2022-01-23,Juan Erickson,Texas,Austin,2022-01,27,27,Dakota Poole,Belarus,Michealshire,2022-02-20,Chocolate - Compound Coating,17.1724,1,71502,43.295292439372325,783816
B-26232,5219,1180,20,Office Supplies,Binders,COD,2021-12-17,Alexander Reed,New York,New York City,2021-12,28,28,Frederick Harper,Switzerland,South Marissatown,2022-05-26,Sobe - Tropical Energy,12.3153,9,104380,22.60969534393562,789169
B-26232,5219,1180,20,Office Supplies,Binders,COD,2023-02-03,Jacqueline Harris,California,San Francisco,2023-02,29,29,Stefanie Fitzpatrick,Saint Vincent and the Grenadines,Acevedoville,2020-07-30,Spinach - Baby,33.5883,7,104380,22.60969534393562,819868
B-25394,3686,760,20,Office Supplies,Pens,Debit Card,2022-10-30,Tyler Park,California,San Francisco,2022-10,30,30,Kent Bradshaw,Tanzania,North Harold,2020-04-26,"Cheese - Brie, Triple Creme",67.899,6,73720,20.618556701030926,969661
B-25394,3686,760,20,Office Supplies,Pens,Debit Card,2022-01-15,Richard Wolfe,Ohio,Columbus,2022-01,31,31,Jack Tate,Zimbabwe,West Samuel,2021-09-15,Yeast Dry - Fermipan,73.9851,2,73720,20.618556701030926,852617
B-26157,6045,1606,4,Office Supplies,Paper,COD,2023-12-14,Sierra Rios,Florida,Orlando,2023-12,32,32,Tom Trujillo,Denmark,Cunninghamborough,2022-01-13,Lettuce - Treviso,96.4127,3,24180,26.567411083540115,686741
B-26157,9337,554,11,Office Supplies,Pens,COD,2023-12-14,Sierra Rios,Florida,Orlando,2023-12,33,33,Gabriel Mejia,Liechtenstein,Port Annatown,2021-04-24,Beans - Wax,45.5551,10,102707,5.93338331369819,697963
B-25555,4051,1848,12,Electronics,Phones,Credit Card,2023-07-03,Jessica Richardson,California,San Diego,2023-07,34,34,Kaitlyn Santana,United States of America,New Kaitlyn,2021-09-21,Mustard Prepared,43.3463,6,48612,45.618365835596144,533284
B-25555,4051,1848,12,Electronics,Phones,Credit Card,2021-05-08,Kimberly Warren,Ohio,Cincinnati,2021-05,35,35,Faith Moon,Bahamas,West Marthaburgh,2021-11-03,"Water - Mineral, Natural",15.7233,6,48612,45.618365835596144,625910
B-25555,5011,866,11,Furniture,Bookcases,Credit Card,2023-07-03,Jessica Richardson,California,San Diego,2023-07,36,36,Tammie Haley,Belize,East Teresa,2022-01-04,Table Cloth 54x72 White,69.2574,9,55121,17.28197964478148,645005
B-25555,5011,866,11,Furniture,Bookcases,Credit Card,2021-05-08,Kimberly Warren,Ohio,Cincinnati,2021-05,37,37,Nicholas Sosa,Uruguay,South Hunter,2021-08-10,"Nut - Pistachio, Shelled",80.3171,7,55121,17.28197964478148,734617
B-26139,3958,630,15,Furniture,Sofas,EMI,2022-10-07,Casey Garcia,Florida,Orlando,2022-10,38,38,Jordan Gay,Solomon Islands,South Walter,2021-02-24,Sage - Ground,81.6579,6,59370,15.917129863567459,716017
B-26139,3132,963,1,Furniture,Tables,Debit Card,2022-10-07,Casey Garcia,Florida,Orlando,2022-10,39,39,Bruce Esparza,Montenegro,Poolefurt,2021-10-22,Dried Figs,75.2059,11,3132,30.747126436781606,393631
B-25032,7784,2937,12,Office Supplies,Markers,UPI,2024-08-06,Denise Hampton,California,San Francisco,2024-08,40,40,Sherry Garza,Poland,West John,2021-11-01,Cocktail Napkin Blue,8.9372,8,93408,37.73124357656732,634982
B-25032,5591,1696,3,Office Supplies,Pens,COD,2024-08-06,Denise Hampton,California,San Francisco,2024-08,41,41,Natalie Gentry,Dominican Republic,West Darius,2020-10-10,"Cup - 6oz, Foam",81.721,7,16773,30.334466106242175,956741
B-25032,5122,2413,12,Electronics,Electronic Games,COD,2024-08-06,Denise Hampton,California,San Francisco,2024-08,42,42,Bryan Dunn,Burkina Faso,North Jimstad,2021-09-08,Bread - Raisin Walnut Oval,81.0488,1,61464,47.11050370948848,546129
B-25730,8293,2632,8,Office Supplies,Binders,COD,2022-01-05,Justin Rodriguez,Ohio,Cleveland,2022-01,43,43,Wayne Simpson,Bolivia,East Rebekahborough,2020-12-13,Sponge Cake Mix - Chocolate,16.3983,9,66344,31.73761003255758,429888
B-25730,8293,2632,8,Office Supplies,Binders,COD,2020-10-17,Ms. Emily Baxter,New York,Rochester,2020-10,44,44,Luis Greer,Bulgaria,North Drew,2022-05-15,"Wine - White, Colubia Cresh",48.5981,7,66344,31.73761003255758,509397
B-25730,8293,2632,8,Office Supplies,Binders,COD,2023-08-21,Austin White,California,Los Angeles,2023-08,45,45,Rhonda Frost,Monaco,Lake Lindaburgh,2021-12-06,Beef - Ground Medium,79.5324,4,66344,31.73761003255758,568974
B-25730,2863,205,17,Electronics,Phones,UPI,2022-01-05,Justin Rodriguez,Ohio,Cleveland,2022-01,46,46,Joanne Montes,Palau,Gwendolynview,2020-07-01,Lambcasing,86.7915,9,48671,7.1603213412504365,658639
B-25730,2863,205,17,Electronics,Phones,UPI,2020-10-17,Ms. Emily Baxter,New York,Rochester,2020-10,47,47,Geoffrey Guzman,Uzbekistan,Zimmermanland,2020-04-23,"Thyme - Lemon, Fresh",47.1339,9,48671,7.1603213412504365,790026
B-25730,2863,205,17,Electronics,Phones,UPI,2023-08-21,Austin White,California,Los Angeles,2023-08,48,48,Gloria Mccall,Ghana,North Kerriton,2022-03-11,Pecan Raisin - Tarts,60.3625,7,48671,7.1603213412504365,708937
B-26470,3090,573,6,Furniture,Tables,EMI,2024-12-27,Morgan Montes,California,San Diego,2024-12,49,49,Brady Cohen,United Arab Emirates,North Eileenville,2022-03-10,Bacardi Breezer - Tropical,61.4317,8,18540,18.54368932038835,771322
B-26470,3090,573,6,Furniture,Tables,EMI,2021-06-18,Christine Mosley,Ohio,Cincinnati,2021-06,50,50,Latoya Mccann,Belarus,Port Sergiofort,2021-12-02,Pork - Kidney,43.2864,7,18540,18.54368932038835,783086
B-26470,3090,573,6,Furniture,Tables,EMI,2023-05-27,Ashley Rodriguez,Texas,Austin,2023-05,51,51,Gerald Hawkins,Canada,New Alberttown,2021-03-19,Wine - Crozes Hermitage E.,81.0134,11,18540,18.54368932038835,970445
B-26470,3090,573,6,Furniture,Tables,EMI,2021-10-12,Elizabeth King,Texas,Dallas,2021-10,52,52,Samuel Crawford,Algeria,South Jasmine,2021-03-27,"Turnip - White, Organic",55.6059,1,18540,18.54368932038835,509475
B-26470,9683,1014,5,Electronics,Printers,UPI,2024-12-27,Morgan Montes,California,San Diego,2024-12,53,53,Patricia Goodwin,Swaziland,Cowanfort,2021-03-08,Cassis,92.6279,8,48415,10.471961169059176,615314
B-26470,9683,1014,5,Electronics,Printers,UPI,2021-06-18,Christine Mosley,Ohio,Cincinnati,2021-06,54,54,Stacie Richard,Madagascar,New Deborah,2020-10-15,"Liners - Banana, Paper",53.5592,9,48415,10.471961169059176,471692
B-26470,9683,1014,5,Electronics,Printers,UPI,2023-05-27,Ashley Rodriguez,Texas,Austin,2023-05,55,55,Robin West,Ecuador,Wallstown,2022-01-13,Cinnamon Buns Sticky,6.6182,3,48415,10.471961169059176,746499
B-26470,9683,1014,5,Electronics,Printers,UPI,2021-10-12,Elizabeth King,Texas,Dallas,2021-10,56,56,Ralph Haas,Palestinian Territory,Lake Ellenchester,2020-05-25,Chips Potato Salt Vinegar 43g,46.4033,9,48415,10.471961169059176,406738
B-25988,2463,648,18,Furniture,Tables,EMI,2022-09-19,Connie Holmes,Ohio,Cincinnati,2022-09,57,57,Phyllis Maldonado,Saint Barthelemy,Lake Whitney,2021-01-25,Sausage - Breakfast,12.2145,3,44334,26.30937880633374,356830
B-25568,7811,1538,12,Furniture,Sofas,COD,2022-03-25,Melissa Peck,Florida,Miami,2022-03,58,58,Danny Parrish,United Arab Emirates,East Jaredbury,2021-03-17,Dc Hikiage Hira Huba,20.1009,7,93732,19.690180514658813,620080
B-26730,6139,451,10,Furniture,Tables,Debit Card,2022-02-26,David Smith,Florida,Orlando,2022-02,59,59,Kathy Hill,South Georgia and the South Sandwich Islands,Selenabury,2020-11-15,Pastry - Butterscotch Baked,73.5389,10,61390,7.346473366997882,651762
B-26730,6139,451,10,Furniture,Tables,Debit Card,2021-04-05,Jacqueline Harris,Texas,Houston,2021-04,60,60,Kelli Hardy,Sao Tome and Principe,Huangfort,2020-12-20,"Pepper - Paprika, Hungarian",31.6949,2,61390,7.346473366997882,629452
B-26730,8636,3192,3,Furniture,Chairs,COD,2022-02-26,David Smith,Florida,Orlando,2022-02,61,61,Lynn Pham,Portugal,East Pennyshire,2020-08-21,Sardines,62.546,8,25908,36.96155627605373,767733
B-26730,8636,3192,3,Furniture,Chairs,COD,2021-04-05,Jacqueline Harris,Texas,Houston,2021-04,62,62,Shelley Harris,Togo,Port Jasminborough,2020-12-10,Pears - Bosc,19.5217,1,25908,36.96155627605373,625369
B-26730,4439,1712,19,Furniture,Sofas,Credit Card,2022-02-26,David Smith,Florida,Orlando,2022-02,63,63,Eddie Jimenez,Ethiopia,West Kristine,2022-03-24,Cake - Mini Cheesecake,56.2689,9,84341,38.56724487497184,932719
B-26730,4439,1712,19,Furniture,Sofas,Credit Card,2021-04-05,Jacqueline Harris,Texas,Houston,2021-04,64,64,Chloe Hutchinson,Netherlands,South Julia,2022-05-15,Vinegar - Sherry,16.5229,6,84341,38.56724487497184,655504
B-25372,1016,172,20,Furniture,Tables,Debit Card,2020-11-16,Heather Jenkins,New York,Buffalo,2020-11,65,65,Eileen Lynch,Liberia,Helenborough,2021-01-02,Brandy - Bar,21.1106,3,20320,16.92913385826772,868421
B-25372,5768,2059,14,Furniture,Tables,UPI,2020-11-16,Heather Jenkins,New York,Buffalo,2020-11,66,66,Fernando Lambert,Lithuania,Lake Nancy,2021-04-23,Pie Filling - Cherry,9.8823,7,80752,35.696948682385575,846686
B-25372,1217,151,3,Furniture,Tables,Credit Card,2020-11-16,Heather Jenkins,New York,Buffalo,2020-11,67,67,Makayla Cannon,New Caledonia,Georgeport,2020-01-20,Wine - Sogrape Mateus Rose,3.7805,5,3651,12.407559572719803,727278
B-26026,953,93,2,Office Supplies,Paper,Debit Card,2024-12-12,Kelsey Castaneda,Ohio,Cleveland,2024-12,68,68,Tom Alvarado,Kiribati,South Sophiaberg,2020-08-18,"Beets - Candy Cane, Organic",84.8769,6,1906,9.758656873032528,625361
B-26026,953,93,2,Office Supplies,Paper,Debit Card,2023-04-06,Katherine Harris,California,Los Angeles,2023-04,69,69,Virginia Dudley,French Southern Territories,Hartbury,2021-01-31,Raspberries - Fresh,87.6092,1,1906,9.758656873032528,499161
B-26026,7355,1034,3,Furniture,Sofas,COD,2024-12-12,Kelsey Castaneda,Ohio,Cleveland,2024-12,70,70,Riley Good,Canada,Erikaville,2020-02-03,Squid - Tubes / Tenticles 10/20,63.1846,4,22065,14.05846363018355,724322
B-26026,7355,1034,3,Furniture,Sofas,COD,2023-04-06,Katherine Harris,California,Los Angeles,2023-04,71,71,Alexandria Buck,Iran,Nicolasfort,2021-02-20,Cheese - Wine,74.4076,6,22065,14.05846363018355,743428
B-26026,1843,248,3,Electronics,Phones,Credit Card,2024-12-12,Kelsey Castaneda,Ohio,Cleveland,2024-12,72,72,Richard Roth,Morocco,New Jasmineshire,2020-02-23,Bar - Granola Trail Mix Fruit Nut,62.2603,4,5529,13.456321215409659,525957
B-26026,1843,248,3,Electronics,Phones,Credit Card,2023-04-06,Katherine Harris,California,Los Angeles,2023-04,73,73,Candice Keller,Zimbabwe,East Summerstad,2020-08-22,Appetizer - Sausage Rolls,48.1907,11,5529,13.456321215409659,576791
B-26026,1603,361,10,Office Supplies,Pens,Debit Card,2024-12-12,Kelsey Castaneda,Ohio,Cleveland,2024-12,74,74,Anita Benson,Russian Federation,Skinnerport,2020-02-09,Carbonated Water - Cherry,13.6241,7,16030,22.52027448533999,759915
B-26026,1603,361,10,Office Supplies,Pens,Debit Card,2023-04-06,Katherine Harris,California,Los Angeles,2023-04,75,75,Regina Stein,Solomon Islands,Raystad,2022-01-15,Chef Hat 20cm,4.18,8,16030,22.52027448533999,1110605
B-25295,2025,528,1,Office Supplies,Pens,Credit Card,2024-01-28,Paul Rogers,Florida,Miami,2024-01,76,76,Debra Riddle,United States Virgin Islands,Colinhaven,2020-07-11,Wine - Fume Blanc Fetzer,65.6765,6,2025,26.074074074074073,650829
B-25295,6800,167,16,Office Supplies,Binders,EMI,2024-01-28,Paul Rogers,Florida,Miami,2024-01,77,77,Brittany Zuniga,Kyrgyz Republic,West Reginald,2021-07-24,Potatoes - Idaho 100 Count,11.4971,9,108800,2.4558823529411766,706807
B-26121,1126,55,1,Furniture,Bookcases,UPI,2022-01-16,Jon Banks,Florida,Tampa,2022-01,78,78,Cassidy Mcmahon,Myanmar,Lake Sherryborough,2020-10-21,Wine - Magnotta - Belpaese,30.4202,4,1126,4.8845470692717585,594607
B-26121,1126,55,1,Furniture,Bookcases,UPI,2022-12-16,Michelle Williams,New York,Buffalo,2022-12,79,79,Laurie Pennington,Dominica,Port Katherineville,2020-06-08,"Pasta - Penne, Rigate, Dry",9.5045,11,1126,4.8845470692717585,540215
B-25560,7533,3508,12,Furniture,Tables,UPI,2023-07-13,Andrew Allen,California,San Diego,2023-07,80,80,Alejandro Blair,Iceland,Thomasland,2020-09-19,Wasabi Powder,93.9752,2,90396,46.56843223151467,569655
B-25560,4734,1178,16,Office Supplies,Binders,Credit Card,2023-07-13,Andrew Allen,California,San Diego,2023-07,81,81,Leslie Jennings,Micronesia,Coreybury,2021-11-13,Cookies - Assorted,86.6483,2,75744,24.883819180397126,661069
B-25560,4074,1175,6,Electronics,Electronic Games,Debit Card,2023-07-13,Andrew Allen,California,San Diego,2023-07,82,82,Kathleen Mckay,Saint Vincent and the Grenadines,Lake Janiceton,2021-09-12,Jolt Cola - Electric Blue,56.8099,5,24444,28.841433480608735,620385
B-25560,2334,484,3,Furniture,Sofas,Credit Card,2023-07-13,Andrew Allen,California,San Diego,2023-07,83,83,Hunter Moreno,Isle of Man,East Clinton,2020-12-28,Lamb - Ground,50.8837,1,7002,20.7369323050557,779539
B-26076,2750,1239,11,Electronics,Phones,Debit Card,2025-03-10,Vanessa Bauer,New York,Buffalo,2025-03,84,84,Chad Davidson,Oman,South Joshuashire,2021-11-15,Peas - Frozen,90.3019,1,30250,45.054545454545455,774130
B-26076,2750,1239,11,Electronics,Phones,Debit Card,2024-09-24,Sean Smith,Ohio,Cleveland,2024-09,85,85,Corey Holt,Fiji,New Glenda,2020-02-18,Cheese - Parmesan Cubes,86.8857,7,30250,45.054545454545455,398291
B-26076,8639,3104,19,Office Supplies,Pens,EMI,2025-03-10,Vanessa Bauer,New York,Buffalo,2025-03,86,86,Emma Cunningham,New Zealand,North Jillianview,2022-05-13,Longos - Grilled Chicken With,18.3791,2,164141,35.93008450052089,678063
B-26076,8639,3104,19,Office Supplies,Pens,EMI,2024-09-24,Sean Smith,Ohio,Cleveland,2024-09,87,87,Duane Woods,Maldives,Lyonsberg,2020-07-21,Wine - Pinot Noir Latour,3.7847,7,164141,35.93008450052089,865602
B-25872,3808,1192,4,Office Supplies,Markers,UPI,2020-04-13,Shelly Sweeney,New York,New York City,2020-04,88,88,Alison Vargas,Benin,East Cristinabury,2020-11-10,Remy Red,91.996,2,15232,31.30252100840336,383503
B-25872,2588,705,16,Office Supplies,Pens,Credit Card,2020-04-13,Shelly Sweeney,New York,New York City,2020-04,89,89,Vernon Kane,Yemen,Thomasfurt,2021-04-15,"Beef - Ground, Extra Lean, Fresh",36.7281,3,41408,27.24111282843895,609559
B-26185,1591,727,5,Electronics,Electronic Games,Credit Card,2022-06-27,Emily Gill,Illinois,Springfield,2022-06,90,90,Lori Flowers,Namibia,North Joeburgh,2021-01-09,Flavouring - Orange,69.32,9,7955,45.69453174104337,721839
B-26185,1591,727,5,Electronics,Electronic Games,Credit Card,2021-03-14,Brian Patrick,Florida,Tampa,2021-03,91,91,Nina Chavez,Bhutan,Cassidychester,2020-03-26,General Purpose Trigger,57.0429,6,7955,45.69453174104337,744841
B-26185,1591,727,5,Electronics,Electronic Games,Credit Card,2022-02-23,Dr. Sarah Booth,Ohio,Cincinnati,2022-02,92,92,Shane Foley,Hungary,South Dannymouth,2021-07-06,"Wine - Red, Colio Cabernet",60.2161,1,7955,45.69453174104337,595341
B-26259,1757,622,10,Furniture,Chairs,UPI,2022-03-29,Douglas Mcfarland,Ohio,Cleveland,2022-03,93,93,Collin Ayers,Anguilla,South Lonnie,2021-06-29,Bandage - Fexible 1x3,8.119,8,17570,35.40125213431987,499539
B-26259,1757,622,10,Furniture,Chairs,UPI,2022-11-20,Kayla Ross,Illinois,Peoria,2022-11,94,94,Sherry Young,Solomon Islands,Frankchester,2021-04-04,V8 - Berry Blend,43.5109,9,17570,35.40125213431987,286209
B-25142,6940,253,15,Furniture,Bookcases,Debit Card,2021-11-12,Marc Strickland,Florida,Orlando,2021-11,95,95,Darrell Douglas,Mali,Daisyborough,2022-02-17,Beans - Kidney White,46.3913,1,104100,3.645533141210375,688905
B-25142,5105,465,5,Electronics,Printers,UPI,2021-11-12,Marc Strickland,Florida,Orlando,2021-11,96,96,Karl Greer,Guyana,East Richard,2022-01-30,Cheese - Bocconcini,62.1993,7,25525,9.10871694417238,625980
B-25326,5578,277,16,Furniture,Tables,COD,2021-08-17,Charlene Brown,Florida,Miami,2021-08,97,97,Lynn Atkinson,Sri Lanka,New Bradview,2021-07-10,Veal - Inside,24.7798,4,89248,4.965937612047329,452388
B-25326,5578,277,16,Furniture,Tables,COD,2022-05-16,Charles Smith,Ohio,Columbus,2022-05,98,98,Fred Guerra,Solomon Islands,Ortegaland,2021-09-18,Shrimp - 31/40,99.8755,3,89248,4.965937612047329,536038
B-26795,5224,1958,16,Furniture,Chairs,Credit Card,2023-07-16,Karen Townsend,Texas,Houston,2023-07,99,99,Yvonne Farmer,Aruba,Lake Elijahview,2021-08-11,Mustard - Seed,27.4874,5,83584,37.480857580398165,495831
B-26795,5002,1801,11,Office Supplies,Markers,Credit Card,2023-07-16,Karen Townsend,Texas,Houston,2023-07,100,100,Clarence Haynes,Honduras,Judymouth,2020-03-11,"Pork - Loin, Bone - In",69.6501,9,55022,36.00559776089564,265762
B-26795,7380,1673,18,Office Supplies,Markers,COD,2023-07-16,Karen Townsend,Texas,Houston,2023-07,1,101,Sheryl Baxter,Chile,East Leonard,2020-08-24,"Soup - Campbells, Lentil",83.011,4,132840,22.66937669376694,807306
B-25660,7595,2873,4,Furniture,Chairs,Debit Card,2020-08-18,Steven Cox,California,Los Angeles,2020-08,2,102,Preston Lozano,Djibouti,East Jimmychester,2021-04-23,"Rosemary - Primerba, Paste",62.257,4,30380,37.8275181040158,817932
B-25660,7595,2873,4,Furniture,Chairs,Debit Card,2022-04-19,Cynthia Rodriguez,New York,Rochester,2022-04,3,103,Roy Berry,Antigua and Barbuda,Isabelborough,2020-03-25,Cream Of Tartar,72.7534,7,30380,37.8275181040158,478466
B-25410,1954,294,7,Furniture,Sofas,Debit Card,2022-12-23,Jessica Baker,Texas,Austin,2022-12,4,104,Linda Olsen,Dominican Republic,Bensonview,2020-06-02,Tia Maria,98.2471,5,13678,15.046059365404298,593543
B-25690,523,95,20,Electronics,Printers,EMI,2024-12-07,Mark Blackburn,Texas,Dallas,2024-12,5,105,Joanna Bender,Slovakia (Slovak Republic),West Priscilla,2021-04-17,Ecolab - Mikroklene 4/4 L,68.8789,1,10460,18.164435946462714,788411
B-26464,5704,714,13,Electronics,Laptops,EMI,2022-02-03,Zachary Perez,Texas,Austin,2022-02,6,106,Aimee Downs,Bosnia and Herzegovina,Chavezborough,2020-02-25,Pickerel - Fillets,18.753,7,74152,12.517531556802245,607254
B-26464,5704,714,13,Electronics,Laptops,EMI,2021-12-12,Brian Green,California,San Diego,2021-12,7,107,Darren Peck,Pitcairn Islands,Lake Ana,2021-08-24,Bread - French Baquette,7.4151,1,74152,12.517531556802245,666528
B-26464,8797,1010,8,Furniture,Tables,UPI,2022-02-03,Zachary Perez,Texas,Austin,2022-02,8,108,Brett Mullen,Bulgaria,Kimport,2021-04-12,Pasta - Orecchiette,79.0038,1,70376,11.481186768216437,698019
B-26464,8797,1010,8,Furniture,Tables,UPI,2021-12-12,Brian Green,California,San Diego,2021-12,9,109,Sheryl Meyers,Cyprus,Robersonstad,2020-01-13,Muffin - Zero Transfat,49.3791,1,70376,11.481186768216437,558632
B-26464,9236,2899,5,Electronics,Laptops,Debit Card,2022-02-03,Zachary Perez,Texas,Austin,2022-02,10,110,Michelle Gallagher,Timor-Leste,Elaineberg,2021-11-08,Black Currants,40.9417,9,46180,31.38804677349502,847096
